age,ova,bov,pot,growth,value,total_stats,base_stats,composure,stamina,strength,power,reactions
33,69,71,69,0,625000.0,1929,408,61.0,69,68,347,69
37,71,70,71,0,600000.0,1906,385,79.0,64,60,324,65
33,71,71,71,0,1100000.0,1770,354,61.0,29,56,284,59
36,81,82,81,0,5500000.0,2014,420,89.0,58,62,297,75
27,66,66,70,4,725000.0,1649,360,61.0,64,61,315,65
38,77,77,77,0,2800000.0,2017,403,80.0,51,64,340,70
39,78,78,78,0,1000.0,1939,392,61.0,48,61,310,76
37,80,82,80,0,400000.0,2065,415,61.0,34,63,333,82
35,74,75,74,0,120000.0,1868,381,61.0,61,76,349,83
37,78,77,78,0,0.0,2012,411,61.0,81,70,372,80
35,80,81,80,0,5500000.0,1974,407,86.0,72,68,363,83
39,69,69,69,0,0.0,1084,373,61.0,34,67,209,66
38,79,79,79,0,0.0,2207,454,61.0,60,84,403,77
39,75,75,75,0,1000.0,1874,401,61.0,55,77,282,80
38,70,74,70,0,190000.0,1682,322,61.0,30,34,245,80
37,73,72,73,0,0.0,1548,322,61.0,33,74,263,70
37,73,72,73,0,350000.0,1507,285,61.0,31,30,235,88
37,75,75,75,0,1300000.0,1160,407,61.0,34,66,212,69
39,80,82,80,0,1500000.0,1872,378,85.0,54,75,337,79
37,82,81,82,0,2200000.0,2077,430,61.0,72,80,395,77
36,79,80,79,0,0.0,1882,393,61.0,54,64,333,81
34,69,69,69,0,275000.0,1870,385,61.0,74,66,343,73
37,72,72,72,0,325000.0,1150,388,59.0,27,77,224,69
36,75,74,75,0,900000.0,1058,376,62.0,28,76,209,74
37,66,66,66,0,80000.0,1679,350,61.0,33,90,329,62
33,76,75,76,0,3000000.0,2113,442,75.0,75,77,400,73
40,73,72,73,0,500000.0,1223,401,67.0,29,57,213,74
36,63,66,63,0,35000.0,1786,363,61.0,54,74,322,76
32,76,75,76,0,2200000.0,1920,395,61.0,52,72,349,78
36,72,72,72,0,975000.0,1923,395,83.0,49,74,338,75
34,68,69,68,0,425000.0,1744,351,70.0,55,33,310,70
37,71,71,71,0,850000.0,1755,372,71.0,65,80,349,70
37,66,65,66,0,45000.0,1463,296,68.0,29,75,230,63
38,79,77,79,0,0.0,1703,349,79.0,32,75,269,71
34,80,79,80,0,3200000.0,2181,447,61.0,68,83,407,82
39,75,75,75,0,0.0,1274,409,61.0,33,64,218,66
33,74,75,74,0,1200000.0,1851,373,61.0,48,45,310,77
34,63,63,63,0,50000.0,1698,349,61.0,51,66,292,44
34,78,77,78,0,825000.0,1858,394,61.0,70,82,332,75
35,71,72,71,0,130000.0,1999,404,61.0,52,66,328,74
31,63,64,63,0,120000.0,1693,369,61.0,65,66,322,57
32,74,74,74,0,1800000.0,1751,355,61.0,34,57,289,75
32,71,71,71,0,850000.0,1771,380,61.0,64,74,350,70
34,77,77,77,0,825000.0,1561,315,61.0,62,80,282,71
