id,name,age,ova,bov,pot,growth,a/w,d/w,value,total_stats,base_stats,composure,stamina,strength,power,reactions
2,G. Pasquale,33,69,71,69,0,Medium,High,625000.0,1929,408,61.0,69,68,347,69
16,Luis García,37,71,70,71,0,Medium,Medium,600000.0,1906,385,79.0,64,60,324,65
27,J. Cole,33,71,71,71,0,Medium,Low,1100000.0,1770,354,61.0,29,56,284,59
41,Iniesta,36,81,82,81,0,High,Medium,5500000.0,2014,420,89.0,58,62,297,75
61,D. Odonkor,27,66,66,70,4,Medium,Medium,725000.0,1649,360,61.0,64,61,315,65
80,E. Belözoğlu,38,77,77,77,0,Medium,Medium,2800000.0,2017,403,80.0,51,64,340,70
241,R. Giggs,39,78,78,78,0,Medium,Medium,1000.0,1939,392,61.0,48,61,310,76
246,P. Scholes,37,80,82,80,0,Medium,Medium,400000.0,2065,415,61.0,34,63,333,82
249,P. Neville,35,74,75,74,0,Medium,High,120000.0,1868,381,61.0,61,76,349,83
250,D. Beckham,37,78,77,78,0,Medium,Medium,0.0,2012,411,61.0,81,70,372,80
330,R. Keane,35,80,81,80,0,High,Low,5500000.0,1974,407,86.0,72,68,363,83
1001,G. Király,39,69,69,69,0,Medium,Medium,0.0,1084,373,61.0,34,67,209,66
1040,Roberto Carlos,38,79,79,79,0,Medium,High,0.0,2207,454,61.0,60,84,403,77
1041,J. Zanetti,39,75,75,75,0,Medium,High,1000.0,1874,401,61.0,55,77,282,80
1075,A. Del Piero,38,70,74,70,0,Low,Low,190000.0,1682,322,61.0,30,34,245,80
1088,A. Nesta,37,73,72,73,0,Medium,High,0.0,1548,322,61.0,33,74,263,70
1198,F. Inzaghi,37,73,72,73,0,Medium,Low,350000.0,1507,285,61.0,31,30,235,88
1219,C. Abbiati,37,75,75,75,0,Medium,Medium,1300000.0,1160,407,61.0,34,66,212,69
1238,F. Totti,39,80,82,80,0,Medium,Medium,1500000.0,1872,378,85.0,54,75,337,79
1256,C. Seedorf,37,82,81,82,0,Medium,Medium,2200000.0,2077,430,61.0,72,80,395,77
1625,T. Henry,36,79,80,79,0,Medium,Medium,0.0,1882,393,61.0,54,64,333,81
2062,L. Bowyer,34,69,69,69,0,Medium,Medium,275000.0,1870,385,61.0,74,66,343,73
2147,M. Stekelenburg,37,72,72,72,0,Medium,Medium,325000.0,1150,388,59.0,27,77,224,69
2196,R. Weidenfeller,36,75,74,75,0,Medium,Medium,900000.0,1058,376,62.0,28,76,209,74
2231,E. Heskey,37,66,66,66,0,Low,Low,80000.0,1679,350,61.0,33,90,329,62
2492,Eliseu,33,76,75,76,0,Medium,Medium,3000000.0,2113,442,75.0,75,77,400,73
2651,S. Given,40,73,72,73,0,Medium,Medium,500000.0,1223,401,67.0,29,57,213,74
2837,R. Delap,36,63,66,63,0,Medium,Medium,35000.0,1786,363,61.0,54,74,322,76
2956,S. Petrov,32,76,75,76,0,Medium,Medium,2200000.0,1920,395,61.0,52,72,349,78
3281,Tarantini,36,72,72,72,0,Medium,Medium,975000.0,1923,395,83.0,49,74,338,75
3395,S. Wright-Phillips,34,68,69,68,0,Medium,Low,425000.0,1744,351,70.0,55,33,310,70
3467,Yuri,37,71,71,71,0,High,Medium,850000.0,1755,372,71.0,65,80,349,70
3484,J. O'Shea,37,66,65,66,0,Low,Medium,45000.0,1463,296,68.0,29,75,230,63
3622,Ricardo Carvalho,38,79,77,79,0,Medium,Medium,0.0,1703,349,79.0,32,75,269,71
3647,M. Ballack,34,80,79,80,0,Medium,High,3200000.0,2181,447,61.0,68,83,407,82
3712,Dida,39,75,75,75,0,Medium,Medium,0.0,1274,409,61.0,33,64,218,66
4077,Simão,33,74,75,74,0,Medium,Medium,1200000.0,1851,373,61.0,48,45,310,77
4114,A. Radomski,34,63,63,63,0,Low,High,50000.0,1698,349,61.0,51,66,292,44
4202,G. Gattuso,34,78,77,78,0,Medium,High,825000.0,1858,394,61.0,70,82,332,75
5203,M. Oddo B,35,71,72,71,0,Medium,Medium,130000.0,1999,404,61.0,52,66,328,74
5231,B. Mendy,31,63,64,63,0,Medium,Medium,120000.0,1693,369,61.0,65,66,322,57
5419,M. Owen,32,74,74,74,0,Medium,Medium,1800000.0,1751,355,61.0,34,57,289,75
5459,M. Bagayoko,32,71,71,71,0,Medium,Low,850000.0,1771,380,61.0,64,74,350,70
5467,J. Carragher,34,77,77,77,0,Low,High,825000.0,1561,315,61.0,62,80,282,71
5471,F. Lampard,38,78,76,78,0,Medium,Medium,575000.0,2022,402,88.0,55,73,362,80
5479,Casillas,38,79,79,79,0,Medium,Medium,1300000.0,1300,430,70.0,41,70,246,74
5672,E. Davids,39,64,69,64,0,Medium,High,1000.0,1837,376,61.0,51,65,319,81
5744,E. Gudjohnsen,36,71,71,71,0,Medium,Medium,190000.0,1707,342,61.0,33,72,297,76
5809,N. Anelka,34,77,76,77,0,Medium,Low,2100000.0,1867,390,61.0,69,77,382,76
5879,A. Gilardino,34,72,71,72,0,High,Medium,1600000.0,1694,348,73.0,54,74,336,71
5984,D. Trezeguet,35,74,74,74,0,Medium,Low,1100000.0,1716,341,61.0,44,80,328,77
6826,G. Barry,38,70,70,70,0,Low,Medium,375000.0,1833,367,81.0,32,73,316,67
6908,D. Stanković,33,78,78,78,0,Medium,Medium,2700000.0,1979,407,61.0,33,75,339,82
7142,K. Kaladze,33,76,75,76,0,Low,High,1200000.0,1673,348,61.0,51,78,299,73
7289,R. Ferdinand,35,75,74,75,0,Medium,Medium,550000.0,1620,353,61.0,33,78,246,73
7512,H. Crespo,35,76,75,76,0,Medium,Low,1700000.0,1655,324,61.0,30,69,305,75
